USER_ID,TOTAL_IDENTIFIES,FIRST_IDENTIFY_AT,LAST_IDENTIFY_AT,DISTINCT_ANON_IDS,FIRST_UTM_SOURCE,FIRST_UTM_MEDIUM,FIRST_UTM_CAMPAIGN,FIRST_UTM_CONTENT,FIRST_UTM_TERM,LAST_UTM_SOURCE,LAST_UTM_MEDIUM,LAST_UTM_CAMPAIGN,LAST_UTM_CONTENT,LAST_UTM_TERM,TOTAL_ORDERS,TOTAL_REVENUE,FIRST_ORDER_AT,LAST_ORDER_AT,TOTAL_CART_ADDS,TOTAL_CART_VALUE,LAST_CART_ADD_AT,FIRST_SEEN_AT,LAST_SEEN_AT,INACTIVE_DAYS
randy.rogers504@example.org,2,2023-10-18 15:59:49.000,2023-10-18 15:59:49.000,1,email,email,cmpn_90,4sdf4sda,topoffers,email,email,cmpn_90,4sdf4sda,topoffers,1,135.00,2023-10-18 16:04:16.000,2023-10-18 16:04:16.000,,,,2023-10-18 15:59:49.000,2023-10-18 16:04:16.000,576
gregorygreen@example.com,2,2024-04-02 16:29:04.000,2024-04-02 16:29:04.000,1,,,,,,,,,,,1,95.00,2024-04-02 16:33:49.000,2024-04-02 16:33:49.000,,,,2024-04-02 16:29:04.000,2024-04-02 16:33:49.000,409
cummings.jose728@example.org,2,2024-01-28 17:29:12.000,2024-01-28 17:29:12.000,1,,,,,,,,,,,1,29.00,2024-01-28 17:35:26.000,2024-01-28 17:35:26.000,,,,2024-01-28 17:29:12.000,2024-01-28 17:35:26.000,474
joshua.duncan184@example.org,2,2023-10-18 16:03:14.000,2023-10-18 16:03:14.000,1,,,,,,,,,,,1,159.00,2023-10-18 16:09:20.000,2023-10-18 16:09:20.000,,,,2023-10-18 16:03:14.000,2023-10-18 16:09:20.000,576
eileen.sherman657@example.org,2,2024-03-03 02:12:22.000,2024-03-03 02:12:22.000,1,,,,,,,,,,,1,88.00,2024-03-03 02:20:23.000,2024-03-03 02:20:23.000,,,,2024-03-03 02:12:22.000,2024-03-03 02:20:23.000,439
landry.nathan391@example.org,2,2023-09-02 06:24:35.000,2023-09-02 06:24:35.000,1,,,,,,,,,,,1,129.00,2023-09-02 06:32:54.000,2023-09-02 06:32:54.000,,,,2023-09-02 06:24:35.000,2023-09-02 06:32:54.000,622
kentmcdonald@example.com,2,2023-11-06 16:57:18.000,2023-11-06 16:57:18.000,1,,,,,,,,,,,1,135.00,2023-11-06 17:04:17.000,2023-11-06 17:04:17.000,,,,2023-11-06 16:57:18.000,2023-11-06 17:04:17.000,557
dalton.deborah121@example.org,2,2024-03-29 15:31:37.000,2024-03-29 15:31:37.000,1,,,,,,,,,,,,,,,1,14.00,2024-03-29 15:37:25.000,2024-03-29 15:31:37.000,2024-03-29 15:37:25.000,413
earlcastro@example.com,2,2024-01-08 13:57:07.000,2024-01-08 13:57:07.000,1,,,,,,,,,,,,,,,1,56.00,2024-01-08 14:07:56.000,2024-01-08 13:57:07.000,2024-01-08 14:07:56.000,494
annaanderson@example.com,2,2024-01-07 15:00:20.000,2024-01-07 15:00:20.000,1,,,,,,,,,,,,,,,1,94.00,2024-01-07 15:03:37.000,2024-01-07 15:00:20.000,2024-01-07 15:03:37.000,495
strong.shannon477@example.org,2,2023-09-26 08:38:27.000,2023-09-26 08:38:27.000,1,,,,,,,,,,,,,,,1,97.00,2023-09-26 08:43:25.000,2023-09-26 08:38:27.000,2023-09-26 08:43:25.000,598
stephanie.franco042@example.net,2,2023-09-04 05:22:30.000,2023-09-04 05:22:30.000,1,,,,,,,,,,,,,,,1,17.00,2023-09-04 05:30:25.000,2023-09-04 05:22:30.000,2023-09-04 05:30:25.000,620
stevencharles@example.com,2,2024-02-29 20:51:14.000,2024-02-29 20:51:14.000,1,,,,,,,,,,,,,,,1,88.00,2024-02-29 20:54:14.000,2024-02-29 20:51:14.000,2024-02-29 20:54:14.000,442
thomas.jennings409@example.net,2,2023-11-16 15:13:09.000,2023-11-16 15:13:09.000,1,,,,,,,,,,,,,,,1,25.00,2023-11-16 15:24:49.000,2023-11-16 15:13:09.000,2023-11-16 15:24:49.000,547
marie.long811@example.org,7,2025-03-17 13:53:33.000,2025-12-29 22:28:08.000,1,,,,,,google,ppc,cmpn_232,53454fasdf,christmas sale,,,,,7,489.00,2026-01-17 06:46:13.000,2025-03-17 13:53:33.000,2026-01-17 06:46:13.000,-246
ashleyjohnson@example.com,6,2024-05-17 10:22:46.000,2025-02-12 21:56:39.000,1,,,,,,,,,,,,,,,6,295.00,2025-02-13 00:39:25.000,2024-05-17 10:22:46.000,2025-02-13 00:39:25.000,92
mercado.jack732@example.org,3,2025-03-06 21:02:24.000,2025-07-04 18:33:52.000,1,,,,,,email,email,cmpn_421,53dsvdsa,brand launch,,,,,2,127.00,2025-07-04 18:31:55.000,2025-03-06 21:02:24.000,2025-07-04 18:33:52.000,-49
park.amanda602@example.org,4,2024-11-19 20:06:36.000,2025-03-21 06:19:53.000,1,,,,,,,,,,,,,,,4,276.00,2025-03-21 08:06:31.000,2024-11-19 20:06:36.000,2025-03-21 08:06:31.000,56
josephreynolds@example.com,2,2023-10-30 09:24:58.000,2023-10-30 09:24:58.000,1,,,,,,,,,,,,,,,1,67.00,2023-10-30 09:29:53.000,2023-10-30 09:24:58.000,2023-10-30 09:29:53.000,564
barbara.fleming272@example.org,2,2024-01-16 16:53:36.000,2024-01-16 16:53:36.000,1,,,,,,,,,,,,,,,1,14.00,2024-01-16 16:59:01.000,2024-01-16 16:53:36.000,2024-01-16 16:59:01.000,486
cristian.nelson208@example.net,5,2024-08-10 00:45:19.000,2024-12-26 02:53:40.000,1,,,,,,bing,ppc,cmpn_232,53454fasdf,christmas sale,,,,,5,288.00,2024-12-26 04:59:57.000,2024-08-10 00:45:19.000,2024-12-26 04:59:57.000,141
coreybrown@example.com,1,2025-08-02 04:56:22.000,2025-08-02 04:56:22.000,1,,,,,,,,,,,,,,,1,37.00,2025-08-02 07:04:21.000,2025-08-02 04:56:22.000,2025-08-02 07:04:21.000,-78
lisaritter@example.com,4,2024-09-10 03:40:55.000,2025-03-29 14:02:49.000,1,,,,,,twitter,paidsocial,cmpn_125,gts23ds,abandon cart,,,,,3,138.00,2025-03-29 14:02:43.000,2024-09-10 03:40:55.000,2025-03-29 14:02:49.000,48
jason.ortiz234@example.org,2,2024-12-01 10:46:31.000,2025-01-25 15:38:34.000,1,,,,,,,,,,,,,,,1,59.00,2025-01-25 18:16:17.000,2024-12-01 10:46:31.000,2025-01-25 18:16:17.000,111
norman.david321@example.org,1,2025-09-04 09:00:11.000,2025-09-04 09:00:11.000,1,,,,,,,,,,,,,,,1,82.00,2025-09-04 10:37:01.000,2025-09-04 09:00:11.000,2025-09-04 10:37:01.000,-111
deborahlee@example.com,8,2025-06-25 20:41:25.000,2026-05-05 16:22:24.000,1,email,email,cmpn_90,4sdf4sda,topoffers,google,ppc,cmpn_830,cdasareravf,paid users,,,,,5,254.00,2026-05-05 16:21:12.000,2025-06-25 20:41:25.000,2026-05-05 16:22:24.000,-354
marydeleon@example.com,3,2024-08-19 20:18:59.000,2024-11-19 11:00:06.000,1,,,,,,,,,,,,,,,3,129.00,2024-11-19 12:45:17.000,2024-08-19 20:18:59.000,2024-11-19 12:45:17.000,178
rebeccacook@example.com,2,2025-04-19 15:10:07.000,2025-05-21 23:53:03.000,1,,,,,,,,,,,,,,,2,95.00,2025-05-22 02:16:05.000,2025-04-19 15:10:07.000,2025-05-22 02:16:05.000,-6
stevens.thomas679@example.org,5,2024-10-07 11:59:17.000,2025-05-09 14:56:05.000,1,,,,,,,,,,,,,,,5,294.00,2025-05-09 16:45:37.000,2024-10-07 11:59:17.000,2025-05-09 16:45:37.000,7
ross.bill631@example.org,6,2024-06-12 13:55:49.000,2025-02-06 20:55:33.000,1,,,,,,google,ppc,cmpn_830,cdasareravf,paid users,,,,,5,179.00,2025-02-06 20:54:49.000,2024-06-12 13:55:49.000,2025-02-06 20:55:33.000,99
raymondlittle@example.com,6,2024-10-22 11:35:51.000,2025-08-26 14:21:13.000,1,,,,,,,,,,,,,,,6,349.00,2025-08-26 17:35:51.000,2024-10-22 11:35:51.000,2025-08-26 17:35:51.000,-102
rebecca.mckenzie882@example.org,6,2026-01-08 00:34:13.000,2026-08-05 16:38:50.000,1,,,,,,,,,,,,,,,5,208.00,2026-08-05 16:37:51.000,2026-01-08 00:34:13.000,2026-08-05 16:38:50.000,-446
jacob.mendoza344@example.net,2,2024-12-16 19:48:01.000,2025-01-15 07:02:57.000,1,,,,,,bing,ppc,cmpn_232,53454fasdf,christmas sale,,,,,2,118.00,2025-01-15 08:04:49.000,2024-12-16 19:48:01.000,2025-01-15 08:04:49.000,121
roberts.theresa496@example.org,3,2025-09-08 07:50:51.000,2025-12-26 22:09:02.000,1,google,ppc,cmpn_533,gfaa4rvdsa,new users,,,,,,,,,,3,115.00,2025-12-26 22:08:29.000,2025-09-08 07:50:51.000,2025-12-26 22:09:02.000,-224
katie.green777@example.com,2,2025-05-13 18:24:18.000,2025-06-29 02:34:09.000,1,,,,,,bing,ppc,cmpn_232,53454fasdf,christmas sale,,,,,1,65.00,2025-06-29 04:46:28.000,2025-05-13 18:24:18.000,2025-06-29 04:46:28.000,-44
nicholasburns@example.com,2,2025-08-28 11:45:34.000,2025-11-01 23:49:27.000,1,,,,,,,,,,,,,,,3,195.00,2025-11-21 17:01:48.000,2025-08-28 11:45:34.000,2025-11-21 17:01:48.000,-189
brianberg@example.com,2,2026-01-06 09:32:37.000,2026-03-05 16:17:08.000,1,google,ppc,cmpn_533,gfaa4rvdsa,new users,,,,,,,,,,1,32.00,2026-03-05 16:15:53.000,2026-01-06 09:32:37.000,2026-03-05 16:17:08.000,-293
fleming.curtis305@example.org,2,2025-01-31 19:26:52.000,2025-03-04 04:28:49.000,1,,,,,,,,,,,,,,,1,93.00,2025-03-04 06:13:26.000,2025-01-31 19:26:52.000,2025-03-04 06:13:26.000,73
cook.kenneth520@example.org,3,2025-02-26 08:13:33.000,2025-05-10 03:50:32.000,1,twitter,paidsocial,cmpn_80,13vfs5asdfa,similar items,,,,,,,,,,3,108.00,2025-05-10 06:48:50.000,2025-02-26 08:13:33.000,2025-05-10 06:48:50.000,6
eric.castaneda820@example.org,2,2023-11-16 12:20:02.000,2023-11-16 12:20:02.000,1,email,email,cmpn_421,53dsvdsa,brand launch,email,email,cmpn_421,53dsvdsa,brand launch,,,,,1,42.00,2023-11-16 12:24:41.000,2023-11-16 12:20:02.000,2023-11-16 12:24:41.000,547
murray.kristen404@example.org,2,2023-10-23 15:17:35.000,2023-10-23 15:17:35.000,1,,,,,,,,,,,,,,,1,46.00,2023-10-23 15:27:30.000,2023-10-23 15:17:35.000,2023-10-23 15:27:30.000,571
wiggins.alexander787@example.org,4,2025-03-14 16:02:12.000,2025-08-30 22:36:16.000,1,,,,,,,,,,,,,,,4,199.00,2025-08-31 01:20:59.000,2025-03-14 16:02:12.000,2025-08-31 01:20:59.000,-107
summers.jennifer586@example.org,1,2025-02-27 04:08:16.000,2025-02-27 04:08:16.000,1,,,,,,,,,,,,,,,1,54.00,2025-02-27 05:10:17.000,2025-02-27 04:08:16.000,2025-02-27 05:10:17.000,78
courtney.vincent609@example.com,1,2024-11-18 01:01:52.000,2024-11-18 01:01:52.000,1,google,ppc,cmpn_830,cdasareravf,paid users,google,ppc,cmpn_830,cdasareravf,paid users,,,,,1,38.00,2024-11-18 02:29:17.000,2024-11-18 01:01:52.000,2024-11-18 02:29:17.000,179
taylorfox@example.com,4,2025-02-08 11:27:01.000,2025-06-08 06:49:09.000,1,,,,,,email,email,cmpn_90,4sdf4sda,topoffers,,,,,3,149.00,2025-06-08 09:41:42.000,2025-02-08 11:27:01.000,2025-06-08 09:41:42.000,-23
lopez.marie611@example.org,5,2024-10-16 16:14:50.000,2025-04-29 08:24:55.000,1,google,ppc,cmpn_830,cdasareravf,paid users,,,,,,,,,,5,270.00,2025-04-29 10:00:34.000,2024-10-16 16:14:50.000,2025-04-29 10:00:34.000,17
stevesmith@example.com,3,2024-05-09 15:45:55.000,2024-08-04 06:17:03.000,1,email,email,cmpn_125,gsf4dsgs,abandon cart,,,,,,,,,,3,110.00,2024-08-04 07:25:55.000,2024-05-09 15:45:55.000,2024-08-04 07:25:55.000,285
sandoval.denise321@example.org,2,2024-07-12 08:29:03.000,2024-09-04 21:30:18.000,1,,,,,,,,,,,,,,,1,103.00,2024-09-04 21:29:59.000,2024-07-12 08:29:03.000,2024-09-04 21:30:18.000,254
tyler.miller180@example.org,2,2024-05-20 07:32:04.000,2024-07-03 15:35:27.000,1,google,ppc,cmpn_533,gfaa4rvdsa,new users,,,,,,,,,,2,66.00,2024-07-03 15:34:02.000,2024-05-20 07:32:04.000,2024-07-03 15:35:27.000,317
tucker.jennifer656@example.org,10,2025-11-15 11:18:22.000,2026-09-27 00:42:55.000,1,,,,,,,,,,,,,,,7,525.00,2026-09-27 01:53:26.000,2025-11-15 11:18:22.000,2026-09-27 01:53:26.000,-499
cindyhicks@example.com,4,2025-11-09 14:37:38.000,2026-03-23 09:48:23.000,1,,,,,,,,,,,,,,,4,244.00,2026-03-23 13:39:46.000,2025-11-09 14:37:38.000,2026-03-23 13:39:46.000,-311
pope.christine611@example.org,4,2024-11-22 21:18:41.000,2025-04-30 11:27:05.000,1,,,,,,,,,,,,,,,4,236.00,2025-04-30 13:28:53.000,2024-11-22 21:18:41.000,2025-04-30 13:28:53.000,16
burns.zachary877@example.org,1,2024-08-11 18:15:59.000,2024-08-11 18:15:59.000,1,email,email,cmpn_421,53dsvdsa,brand launch,email,email,cmpn_421,53dsvdsa,brand launch,,,,,1,85.00,2024-08-11 20:31:34.000,2024-08-11 18:15:59.000,2024-08-11 20:31:34.000,278
bruce.jones516@example.org,6,2024-12-06 05:57:48.000,2025-07-27 01:36:53.000,1,,,,,,,,,,,,,,,6,304.00,2025-07-27 04:03:04.000,2024-12-06 05:57:48.000,2025-07-27 04:03:04.000,-72
mcpherson.alyssa739@example.org,5,2025-07-28 16:41:40.000,2026-02-06 08:37:36.000,1,,,,,,,,,,,,,,,5,279.00,2026-02-06 10:11:47.000,2025-07-28 16:41:40.000,2026-02-06 10:11:47.000,-266
paul.nancy461@example.org,1,2025-01-31 23:00:38.000,2025-01-31 23:00:38.000,1,,,,,,,,,,,,,,,1,53.00,2025-02-01 01:21:10.000,2025-01-31 23:00:38.000,2025-02-01 01:21:10.000,104
seanmeyers@example.com,4,2025-12-19 22:28:54.000,2026-05-31 04:03:10.000,1,,,,,,,,,,,,,,,3,151.00,2026-05-31 04:03:04.000,2025-12-19 22:28:54.000,2026-05-31 04:03:10.000,-380
robles.hannah807@example.org,4,2024-06-09 00:46:06.000,2024-10-18 19:08:16.000,1,,,,,,,,,,,,,,,5,299.00,2024-12-18 02:48:50.000,2024-06-09 00:46:06.000,2024-12-18 02:48:50.000,149
cochran.connor791@example.org,2,2024-11-04 21:07:02.000,2025-01-12 04:54:52.000,1,,,,,,google,ppc,cmpn_232,53454fasdf,christmas sale,,,,,2,203.00,2025-01-12 08:20:12.000,2024-11-04 21:07:02.000,2025-01-12 08:20:12.000,124
lyons.michael071@example.org,3,2024-11-30 17:32:40.000,2025-03-06 03:20:30.000,1,,,,,,,,,,,,,,,3,258.00,2025-03-06 07:31:39.000,2024-11-30 17:32:40.000,2025-03-06 07:31:39.000,71
allen.nancy556@example.org,4,2025-05-09 15:13:19.000,2025-09-04 12:20:14.000,1,,,,,,,,,,,,,,,4,206.00,2025-09-04 12:58:05.000,2025-05-09 15:13:19.000,2025-09-04 12:58:05.000,-111
jennifermacdonald@example.com,5,2024-12-06 06:34:41.000,2025-07-20 10:03:56.000,1,,,,,,,,,,,,,,,5,238.00,2025-07-20 11:33:05.000,2024-12-06 06:34:41.000,2025-07-20 11:33:05.000,-65
douglasparrish@example.com,2,2024-01-29 08:05:43.000,2024-01-29 08:05:43.000,1,,,,,,,,,,,,,,,1,79.00,2024-01-29 08:18:46.000,2024-01-29 08:05:43.000,2024-01-29 08:18:46.000,473
charlesramirez@example.com,2,2023-12-25 08:27:02.000,2023-12-25 08:27:02.000,1,,,,,,,,,,,,,,,1,24.00,2023-12-25 08:31:28.000,2023-12-25 08:27:02.000,2023-12-25 08:31:28.000,508
sarahlopez@example.com,2,2024-04-06 01:16:56.000,2024-04-06 01:16:56.000,1,,,,,,,,,,,,,,,1,105.00,2024-04-06 01:26:31.000,2024-04-06 01:16:56.000,2024-04-06 01:26:31.000,405
kimberlyfarmer@example.com,2,2023-12-04 11:03:39.000,2023-12-04 11:03:39.000,1,,,,,,,,,,,,,,,1,59.00,2023-12-04 11:09:50.000,2023-12-04 11:03:39.000,2023-12-04 11:09:50.000,529
butler.tamara038@example.org,2,2024-04-07 12:26:30.000,2024-04-07 12:26:30.000,1,,,,,,,,,,,,,,,1,9.00,2024-04-07 12:33:11.000,2024-04-07 12:26:30.000,2024-04-07 12:33:11.000,404
chase.jones970@example.com,2,2024-01-04 15:04:34.000,2024-01-04 15:04:34.000,1,google,ppc,cmpn_830,cdasareravf,paid users,google,ppc,cmpn_830,cdasareravf,paid users,,,,,1,39.00,2024-01-04 15:14:14.000,2024-01-04 15:04:34.000,2024-01-04 15:14:14.000,498
rebeccaritter@example.com,2,2024-02-06 21:42:08.000,2024-02-06 21:42:08.000,1,,,,,,,,,,,,,,,1,86.00,2024-02-06 21:53:42.000,2024-02-06 21:42:08.000,2024-02-06 21:53:42.000,465
nancy.stephenson823@example.org,2,2024-03-29 18:13:51.000,2024-03-29 18:13:51.000,1,,,,,,,,,,,,,,,1,88.00,2024-03-29 18:21:58.000,2024-03-29 18:13:51.000,2024-03-29 18:21:58.000,413
dunn.sabrina499@example.org,2,2024-04-04 19:56:38.000,2024-04-04 19:56:38.000,1,,,,,,,,,,,,,,,1,91.00,2024-04-04 20:03:02.000,2024-04-04 19:56:38.000,2024-04-04 20:03:02.000,407
rose.william195@example.org,2,2023-09-17 11:51:23.000,2023-09-17 11:51:23.000,1,,,,,,,,,,,,,,,1,44.00,2023-09-17 11:56:13.000,2023-09-17 11:51:23.000,2023-09-17 11:56:13.000,607
watts.michael763@example.org,2,2024-01-22 00:09:20.000,2024-01-22 00:09:20.000,1,,,,,,,,,,,,,,,1,17.00,2024-01-22 00:18:40.000,2024-01-22 00:09:20.000,2024-01-22 00:18:40.000,480
david.adkins228@example.net,1,2024-05-08 20:32:52.000,2024-05-08 20:32:52.000,1,,,,,,,,,,,,,,,1,82.00,2024-05-08 22:18:21.000,2024-05-08 20:32:52.000,2024-05-08 22:18:21.000,373
smith.jennifer613@example.org,6,2025-08-01 22:35:32.000,2026-02-16 00:18:38.000,1,,,,,,bing,ppc,cmpn_232,53454fasdf,christmas sale,,,,,6,285.00,2026-02-16 02:55:15.000,2025-08-01 22:35:32.000,2026-02-16 02:55:15.000,-276
jesseherrera@example.com,6,2024-12-24 22:37:56.000,2025-08-03 08:43:43.000,1,,,,,,,,,,,,,,,4,267.00,2025-08-03 08:41:44.000,2024-12-24 22:37:56.000,2025-08-03 08:43:43.000,-79
eugene.fuller623@example.com,10,2024-12-31 02:40:07.000,2026-08-13 02:11:09.000,1,,,,,,,,,,,,,,,11,627.00,2026-08-13 02:10:30.000,2024-12-31 02:40:07.000,2026-08-13 02:11:09.000,-454
nichols.daniel052@example.org,10,2025-02-16 02:01:13.000,2025-12-19 22:34:33.000,1,,,,,,,,,,,,,,,8,453.00,2025-12-19 22:33:17.000,2025-02-16 02:01:13.000,2025-12-19 22:34:33.000,-217
jacobwaller@example.com,1,2024-04-22 12:56:34.000,2024-04-22 12:56:34.000,1,,,,,,,,,,,,,,,1,44.00,2024-04-22 14:54:07.000,2024-04-22 12:56:34.000,2024-04-22 14:54:07.000,389
abigail.davis443@example.org,3,2024-05-12 20:04:20.000,2024-07-11 05:28:51.000,1,,,,,,twitter,paidsocial,cmpn_125,gts23ds,abandon cart,,,,,3,107.00,2024-08-16 12:22:26.000,2024-05-12 20:04:20.000,2024-08-16 12:22:26.000,273
sherryparker@example.com,6,2025-02-12 10:46:07.000,2025-09-06 16:16:45.000,1,,,,,,twitter,paidsocial,cmpn_80,13vfs5asdfa,similar items,,,,,5,198.00,2025-09-06 17:22:12.000,2025-02-12 10:46:07.000,2025-09-06 17:22:12.000,-113
